Layer name,Layer Type,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Stride Height,Stride Width,IFMAP Source,Filter Source,PE,Dataflow
Conv1,0,224,224,3,3,3,32,2,2,-1,-1,0,ws
Bottleneck1_1a,0,112,112,1,1,32,16,1,1,0,-1,0,ws
Bottleneck1_1b,0,112,112,3,3,16,16,1,1,1,-1,0,ws
Bottleneck1_1c,0,112,112,1,1,16,16,1,1,2,-1,0,ws
Pool1_1a,1,112,112,1,1,32,16,1,1,0,-1,0,os
Pool1_1b,1,224,112,2,1,16,16,2,1,3_4,-1,0,os
Bottleneck2_1a,0,112,112,1,1,16,96,1,1,5,-1,0,ws
Bottleneck2_1b,0,112,112,3,3,96,96,2,2,6,-1,0,ws
Bottleneck2_1c,0,56,56,1,1,96,16,1,1,7,-1,0,ws
Bottleneck2_2a,0,56,56,1,1,16,96,1,1,8,-1,0,ws
Bottleneck2_2b,0,56,56,3,3,96,96,1,1,9,-1,0,ws
Bottleneck2_2c,0,56,56,1,1,96,24,1,1,10,-1,0,ws
Pool2_2a,1,56,56,1,1,16,24,1,1,8,-1,0,os
Pool2_2b,1,112,56,2,1,24,24,2,1,11_12,-1,0,os
Bottleneck3_1a,0,56,56,1,1,24,144,1,1,13,-1,0,ws
Bottleneck3_1b,0,56,56,3,3,144,144,2,2,14,-1,0,ws
Bottleneck3_1c,0,28,28,1,1,144,24,1,1,15,-1,0,ws
Bottleneck3_2a,0,28,28,1,1,24,144,1,1,16,-1,0,ws
Bottleneck3_2b,0,28,28,3,3,144,144,1,1,17,-1,0,ws
Bottleneck3_2c,0,28,28,1,1,144,24,1,1,18,-1,0,ws
Pool3_2a,1,28,28,1,1,24,32,1,1,20,-1,0,os
Bottleneck3_3a,0,28,28,1,1,24,144,1,1,20,-1,0,ws
Bottleneck3_3b,0,28,28,3,3,144,144,1,1,21,-1,0,ws
Bottleneck3_3c,0,28,28,1,1,144,32,1,1,22,-1,0,ws
Pool3_2b,1,56,28,2,1,32,32,2,1,23_24,-1,0,os
Bottleneck4_1a,0,28,28,1,1,32,192,1,1,25,-1,0,ws
Bottleneck4_1b,0,28,28,3,3,192,192,2,2,26,-1,0,ws
Bottleneck4_1c,0,14,14,1,1,192,32,1,1,27,-1,0,ws
Bottleneck4_2a,0,14,14,1,1,32,192,1,1,28,-1,0,ws
Bottleneck4_2b,0,14,14,3,3,192,192,1,1,29,-1,0,ws
Bottleneck4_2c,0,14,14,1,1,192,32,1,1,30,-1,0,ws
Pool4_2a,1,28,14,2,1,32,32,2,1,28_31,-1,0,os
Bottleneck4_3a,0,14,14,1,1,32,192,1,1,32,-1,0,ws
Bottleneck4_3b,0,14,14,3,3,192,192,1,1,33,-1,0,ws
Bottleneck4_3c,0,14,14,1,1,192,32,1,1,34,-1,0,ws
Pool4_3a,1,28,14,2,1,32,32,2,1,32_35,-1,0,os
Bottleneck4_4a,0,14,14,1,1,32,192,1,1,36,-1,0,ws
Bottleneck4_4b,0,14,14,3,3,192,192,1,1,37,-1,0,ws
Bottleneck4_4c,0,14,14,1,1,192,64,1,1,38,-1,0,ws
Pool5_4a,1,14,14,1,1,32,64,1,1,36,-1,0,os
Pool5_4b,1,28,14,2,1,64,64,2,1,39_40,-1,0,os
Bottleneck5_1a,0,14,14,1,1,64,384,1,1,41,-1,0,ws
Bottleneck5_1b,0,14,14,3,3,384,384,1,1,42,-1,0,ws
Bottleneck5_1c,0,14,14,1,1,384,64,1,1,43,-1,0,ws
Pool5_1a,1,28,14,2,1,64,64,2,1,41_44,-1,0,os
Bottleneck5_2a,0,14,14,1,1,64,384,1,1,45,-1,0,ws
Bottleneck5_2b,0,14,14,3,3,384,384,1,1,46,-1,0,ws
Bottleneck5_2c,0,14,14,1,1,384,64,1,1,47,-1,0,ws
Pool5_2a,1,28,14,2,1,64,64,2,1,45_48,-1,0,os
Bottleneck5_3a,0,14,14,1,1,64,384,1,1,49,-1,0,ws
Bottleneck5_3b,0,14,14,3,3,384,384,1,1,50,-1,0,ws
Bottleneck5_3c,0,14,14,1,1,384,96,1,1,51,-1,0,ws
Pool5_3a,1,14,14,1,1,64,96,1,1,49,-1,0,os
Pool5_3b,1,28,14,2,1,96,96,2,1,52_53,-1,0,os
Bottleneck6_1a,0,14,14,1,1,96,576,1,1,54,-1,0,ws
Bottleneck6_1b,0,14,14,3,3,576,576,2,2,55,-1,0,os
Bottleneck6_1c,0,7,7,1,1,576,96,1,1,56,-1,0,ws
Bottleneck6_2a,0,7,7,1,1,96,576,1,1,57,-1,0,ws
Bottleneck6_2b,0,7,7,3,3,576,576,1,1,58,-1,0,os
Bottleneck6_2c,0,7,7,1,1,576,96,1,1,59,-1,0,ws
Pool6_2a,1,14,7,2,1,96,96,2,1,57_60,-1,0,os
Bottleneck6_3a,0,7,7,1,1,96,576,1,1,61,-1,0,ws
Bottleneck6_3b,0,7,7,3,3,576,576,1,1,62,-1,0,os
Bottleneck6_3c,0,7,7,1,1,576,160,1,1,63,-1,0,ws
Pool6_3a,1,7,7,1,1,96,160,1,1,61,-1,0,os
Pool6_3b,1,14,7,2,1,160,160,2,1,64_65,-1,0,os
Bottleneck7_1a,0,7,7,1,1,160,960,1,1,66,-1,0,ws
Bottleneck7_1b,0,7,7,3,3,960,960,1,1,67,-1,0,os
Bottleneck7_1c,0,7,7,1,1,960,320,1,1,68,-1,0,ws
Pool7_1a,1,7,7,1,1,160,320,1,1,66,-1,0,os
Pool7_1b,1,14,7,2,1,320,320,2,1,69_70,-1,0,os
Conv2,0,7,7,1,1,320,1280,1,1,71,-1,0,ws
Pool,1,7,7,7,7,1280,1280,7,7,72,-1,0,os
Conv3,0,1,1,1,1,1280,1000,1,1,73,-1,0,os
